date,open,high,low,close,volume
2024-03-05 00:00:00,2663.54,2664.96,2663.54,2664.14,0
2024-03-06 00:00:00,2664.65,2666.16,2664.65,2664.93,0
2024-03-07 00:00:00,2665.45,2669.26,2665.45,2668.83,0
2024-03-11 00:00:00,2670.89,2675.07,2670.89,2673.35,0
2024-03-12 00:00:00,2673.87,2673.87,2671.51,2671.51,0
2024-03-13 00:00:00,2672.03,2672.03,2669.47,2669.8,0
2024-03-14 00:00:00,2670.32,2671.16,2669.53,2669.64,0
2024-03-15 00:00:00,2670.16,2670.58,2667.34,2667.49,0
2024-03-18 00:00:00,2669.04,2669.04,2663.96,2663.96,0
2024-03-19 00:00:00,2664.48,2665.22,2662.85,2663.41,0
2024-03-20 00:00:00,2663.93,2665.03,2662.26,2663.7,0
2024-03-21 00:00:00,2664.22,2671.7,2664.22,2671.27,0
2024-03-22 00:00:00,2671.79,2671.86,2665.99,2665.99,0
2024-03-26 00:00:00,2668.07,2668.7,2665.61,2666.78,0
2024-03-27 00:00:00,2667.3,2671.13,2667.3,2670.28,0
2024-03-28 00:00:00,2670.8,2679.33,2670.8,2676.91,0
2024-04-01 00:00:00,2678.98,2678.98,2678.46,2678.46,0
2024-04-02 00:00:00,2678.98,2678.98,2668.79,2668.79,0
2024-04-03 00:00:00,2669.31,2670.32,2668.32,2669.33,0
2024-04-04 00:00:00,2669.85,2672.71,2669.85,2671.49,0
2024-04-05 00:00:00,2672.0,2672.94,2668.57,2668.6,0
2024-04-08 00:00:00,2670.16,2670.16,2661.91,2663.08,0
2024-04-09 00:00:00,2664.12,2664.12,2663.6,2663.6,0
2024-04-10 00:00:00,2664.12,2670.03,2664.12,2670.03,0
2024-04-12 00:00:00,2671.07,2671.07,2658.03,2659.17,0
2024-04-15 00:00:00,2660.73,2664.22,2659.96,2661.84,0
2024-04-16 00:00:00,2662.36,2662.36,2658.76,2658.76,0
2024-04-18 00:00:00,2659.81,2665.06,2659.81,2661.01,0
2024-04-19 00:00:00,2661.53,2662.44,2653.74,2654.56,0
2024-04-22 00:00:00,2656.13,2661.43,2654.93,2661.43,0
2024-04-23 00:00:00,2661.95,2666.76,2661.95,2666.24,0
2024-04-24 00:00:00,2666.76,2667.39,2663.18,2663.56,0
2024-04-25 00:00:00,2664.08,2664.08,2661.35,2661.79,0
2024-04-26 00:00:00,2662.31,2662.84,2658.95,2662.66,0
2024-04-29 00:00:00,2664.23,2666.41,2664.0,2664.49,0
2024-04-30 00:00:00,2664.99,2665.8,2662.83,2664.25,0
2024-05-02 00:00:00,2665.26,2670.26,2665.26,2670.19,0
2024-05-03 00:00:00,2670.69,2674.58,2670.69,2674.55,0
2024-05-06 00:00:00,2676.07,2683.92,2676.07,2683.92,0
2024-05-07 00:00:00,2684.43,2684.57,2680.16,2680.16,0
2024-05-08 00:00:00,2680.66,2681.1,2678.96,2679.56,0
2024-05-09 00:00:00,2680.06,2682.32,2679.68,2681.06,0
2024-05-10 00:00:00,2681.56,2686.79,2681.56,2683.96,0
2024-05-13 00:00:00,2685.47,2687.81,2685.18,2687.44,0
2024-05-14 00:00:00,2687.94,2690.66,2687.74,2689.8,0
2024-05-15 00:00:00,2690.3,2694.42,2690.3,2694.15,0
2024-05-16 00:00:00,2694.66,2699.61,2694.66,2696.34,0
2024-05-17 00:00:00,2696.84,2696.84,2693.94,2693.94,0
2024-05-18 00:00:00,2695.96,2695.96,2694.44,2694.44,0
2024-05-21 00:00:00,2695.96,2700.55,2695.88,2699.04,0
2024-05-22 00:00:00,2699.54,2706.18,2698.47,2706.18,0
2024-05-23 00:00:00,2707.19,2707.19,2706.68,2706.68,0
2024-05-24 00:00:00,2707.19,2709.54,2706.51,2707.37,0
2024-05-27 00:00:00,2708.88,2712.52,2708.88,2710.45,0
2024-05-28 00:00:00,2710.95,2711.78,2708.17,2708.17,0
2024-05-29 00:00:00,2708.67,2708.67,2705.05,2705.98,0
2024-05-30 00:00:00,2705.97,2708.71,2705.38,2707.23,0
2024-05-31 00:00:00,2707.71,2711.0,2707.71,2709.23,0
2024-06-03 00:00:00,2710.65,2718.51,2710.65,2718.48,0
2024-06-04 00:00:00,2718.96,2719.41,2696.72,2702.31,0
2024-06-05 00:00:00,2702.78,2706.17,2699.47,2706.17,0
2024-06-06 00:00:00,2706.64,2711.35,2706.64,2710.89,0
2024-06-07 00:00:00,2711.36,2713.15,2708.92,2711.73,0
2024-06-10 00:00:00,2713.15,2713.15,2710.78,2712.59,0
2024-06-11 00:00:00,2713.11,2716.56,2713.11,2715.72,0
2024-06-12 00:00:00,2716.25,2717.28,2716.25,2716.47,0
2024-06-13 00:00:00,2717.0,2721.43,2717.0,2721.43,0
2024-06-14 00:00:00,2721.96,2723.58,2721.94,2722.72,0
2024-06-18 00:00:00,2724.81,2725.54,2723.32,2725.54,0
2024-06-19 00:00:00,2726.07,2730.29,2726.07,2729.06,0
2024-06-20 00:00:00,2729.58,2731.02,2728.9,2729.19,0
2024-06-21 00:00:00,2729.71,2733.02,2729.53,2732.14,0
2024-06-24 00:00:00,2733.71,2736.61,2733.64,2734.04,0
2024-06-25 00:00:00,2734.57,2734.8,2731.67,2731.99,0
2024-06-26 00:00:00,2732.52,2732.61,2730.65,2730.65,0
2024-06-27 00:00:00,2731.18,2733.06,2730.58,2731.09,0
2024-06-28 00:00:00,2731.61,2732.67,2728.07,2730.08,0
2024-07-01 00:00:00,2731.65,2731.65,2729.7,2730.95,0
2024-07-02 00:00:00,2731.48,2732.79,2731.45,2732.39,0
2024-07-03 00:00:00,2732.92,2734.64,2732.92,2734.64,0
2024-07-04 00:00:00,2735.17,2736.28,2734.8,2734.82,0
2024-07-05 00:00:00,2735.34,2736.14,2733.75,2734.69,0
2024-07-08 00:00:00,2736.26,2737.77,2736.26,2737.21,0
2024-07-09 00:00:00,2737.73,2738.72,2737.73,2738.0,0
2024-07-10 00:00:00,2738.53,2740.87,2738.11,2740.63,0
2024-07-11 00:00:00,2741.16,2741.72,2740.24,2740.24,0
2024-07-12 00:00:00,2740.76,2742.0,2739.8,2739.95,0
2024-07-15 00:00:00,2741.52,2742.84,2740.25,2742.84,0
2024-07-16 00:00:00,2743.37,2746.21,2743.37,2746.21,0
2024-07-18 00:00:00,2747.26,2749.25,2747.26,2747.73,0
2024-07-19 00:00:00,2748.26,2749.37,2747.23,2749.02,0
2024-07-22 00:00:00,2750.6,2750.67,2749.16,2750.54,0
2024-07-23 00:00:00,2751.06,2755.7,2748.4,2750.78,0
2024-07-24 00:00:00,2751.31,2753.29,2750.79,2752.5,0
2024-07-25 00:00:00,2753.03,2755.67,2752.67,2755.56,0
2024-07-26 00:00:00,2756.09,2760.7,2756.09,2758.03,0
2024-07-29 00:00:00,2759.61,2763.15,2759.61,2761.44,0
2024-07-30 00:00:00,2761.43,2762.95,2757.66,2757.66,0
2024-07-31 00:00:00,2758.19,2760.27,2755.65,2759.15,0
2024-08-01 00:00:00,2759.68,2760.53,2759.68,2760.53,0
2024-08-02 00:00:00,2761.06,2763.73,2761.06,2763.73,0
2024-08-05 00:00:00,2765.3,2775.26,2765.3,2771.9,0
2024-08-06 00:00:00,2772.43,2772.43,2769.6,2771.09,0
2024-08-07 00:00:00,2771.62,2773.9,2770.78,2773.57,0
2024-08-08 00:00:00,2774.1,2774.41,2771.19,2771.58,0
2024-08-09 00:00:00,2772.11,2772.11,2770.33,2771.45,0
2024-08-12 00:00:00,2773.03,2774.54,2773.03,2773.03,0
2024-08-13 00:00:00,2773.55,2774.52,2772.65,2773.3,0
2024-08-14 00:00:00,2773.83,2778.22,2773.83,2778.22,0
2024-08-16 00:00:00,2779.27,2779.27,2776.03,2778.22,0
2024-08-19 00:00:00,2779.8,2782.37,2779.8,2781.81,0
2024-08-20 00:00:00,2782.35,2785.37,2782.35,2784.62,0
2024-08-21 00:00:00,2785.15,2786.9,2785.15,2785.62,0
2024-08-22 00:00:00,2786.15,2788.21,2786.15,2786.26,0
2024-08-23 00:00:00,2786.79,2787.13,2785.57,2785.57,0
2024-08-26 00:00:00,2787.15,2788.6,2787.15,2788.16,0
2024-08-27 00:00:00,2788.69,2788.69,2786.74,2786.74,0
2024-08-28 00:00:00,2787.27,2788.79,2786.9,2787.12,0
2024-08-29 00:00:00,2787.65,2787.65,2786.7,2787.38,0
2024-08-30 00:00:00,2787.38,2787.95,2786.8,2787.49,0
2024-09-02 00:00:00,2789.07,2789.07,2786.88,2786.88,0
2024-09-03 00:00:00,2787.41,2788.96,2786.72,2788.96,0
2024-09-04 00:00:00,2789.49,2792.89,2789.49,2792.31,0
2024-09-05 00:00:00,2792.84,2794.22,2792.84,2793.22,0
2024-09-06 00:00:00,2793.75,2795.18,2793.34,2793.34,0
2024-09-09 00:00:00,2794.92,2795.37,2794.73,2795.25,0
2024-09-10 00:00:00,2795.78,2796.66,2795.78,2796.66,0
2024-09-11 00:00:00,2797.19,2801.8,2797.19,2801.8,0
2024-09-12 00:00:00,2802.33,2805.69,2801.78,2805.69,0
2024-09-13 00:00:00,2806.22,2811.08,2806.22,2809.04,0
2024-09-16 00:00:00,2810.62,2816.78,2810.59,2816.51,0
2024-09-17 00:00:00,2817.04,2817.98,2813.48,2813.48,0
2024-09-18 00:00:00,2814.53,2814.53,2814.0,2814.0,0
2024-09-19 00:00:00,2814.53,2822.45,2813.92,2818.61,0
2024-09-20 00:00:00,2819.14,2821.57,2817.56,2818.28,0
2024-09-23 00:00:00,2819.85,2821.3,2818.34,2819.59,0
2024-09-24 00:00:00,2820.12,2822.55,2819.97,2821.74,0
2024-09-25 00:00:00,2822.28,2827.45,2822.28,2827.45,0
2024-09-26 00:00:00,2827.98,2834.37,2827.98,2832.51,0
2024-09-27 00:00:00,2833.04,2833.04,2825.04,2825.04,0
2024-09-30 00:00:00,2826.62,2829.26,2826.62,2829.04,0
2024-10-01 00:00:00,2829.57,2833.99,2828.96,2833.99,0
2024-10-03 00:00:00,2835.04,2835.04,2826.47,2826.47,0
2024-10-04 00:00:00,2827.0,2827.0,2814.37,2814.37,0
2024-10-07 00:00:00,2815.95,2818.7,2813.35,2813.35,0
2024-10-08 00:00:00,2813.89,2820.92,2813.89,2820.92,0
2024-10-09 00:00:00,2821.46,2834.33,2821.46,2828.97,0
2024-10-10 00:00:00,2829.51,2832.54,2827.42,2827.42,0
2024-10-11 00:00:00,2827.95,2829.82,2823.63,2825.44,0
2024-10-14 00:00:00,2827.03,2831.24,2827.03,2828.72,0
2024-10-15 00:00:00,2829.26,2831.39,2828.83,2831.28,0
2024-10-16 00:00:00,2831.82,2833.49,2830.74,2830.74,0
2024-10-17 00:00:00,2831.28,2831.81,2828.59,2828.59,0
2024-10-18 00:00:00,2829.12,2829.12,2824.1,2824.1,0
2024-10-21 00:00:00,2825.69,2826.41,2822.13,2822.13,0
2024-10-22 00:00:00,2822.67,2825.27,2820.74,2823.54,0
2024-10-23 00:00:00,2824.08,2827.4,2824.08,2826.42,0
2024-10-24 00:00:00,2826.95,2827.96,2825.45,2825.9,0
2024-10-25 00:00:00,2826.44,2826.92,2821.98,2821.98,0
2024-10-28 00:00:00,2823.58,2823.58,2818.39,2819.38,0
2024-10-29 00:00:00,2819.92,2825.09,2819.92,2823.81,0
2024-10-30 00:00:00,2823.8,2827.81,2823.8,2827.81,0
2024-10-31 00:00:00,2828.35,2828.35,2825.14,2825.14,0
2024-11-01 00:00:00,2827.26,2827.26,2825.67,2825.67,0
2024-11-04 00:00:00,2827.26,2829.23,2825.84,2828.77,0
2024-11-05 00:00:00,2829.3,2830.04,2828.62,2829.11,0
2024-11-06 00:00:00,2829.65,2832.0,2824.8,2828.99,0
2024-11-07 00:00:00,2829.53,2831.83,2828.97,2829.89,0
2024-11-08 00:00:00,2830.43,2833.93,2830.43,2832.91,0
2024-11-11 00:00:00,2834.51,2834.51,2833.09,2833.65,0
2024-11-12 00:00:00,2834.19,2834.19,2831.24,2832.2,0
2024-11-13 00:00:00,2834.19,2834.19,2829.52,2830.7,0
2024-11-14 00:00:00,2834.19,2834.19,2824.9,2825.31,0
2024-11-18 00:00:00,2834.19,2834.19,2824.25,2829.03,0
2024-11-19 00:00:00,2834.19,2834.19,2826.24,2831.09,0
2024-11-21 00:00:00,2834.19,2834.19,2824.53,2828.87,0
2024-11-22 00:00:00,2829.41,2829.41,2825.07,2827.25,0
2024-11-25 00:00:00,2828.86,2834.36,2828.85,2833.2,0
2024-11-26 00:00:00,2833.73,2834.69,2831.98,2832.44,0
2024-11-27 00:00:00,2832.98,2835.75,2832.97,2835.75,0
2024-11-28 00:00:00,2836.29,2838.89,2836.27,2837.2,0
2024-11-29 00:00:00,2837.74,2846.63,2837.33,2846.63,0
2024-12-02 00:00:00,2848.23,2857.19,2848.21,2855.69,0
2024-12-03 00:00:00,2856.23,2856.89,2854.45,2855.75,0
2024-12-04 00:00:00,2856.29,2864.42,2856.27,2860.94,0
2024-12-05 00:00:00,2861.48,2862.12,2860.15,2861.67,0
2024-12-06 00:00:00,2862.22,2865.06,2850.16,2852.15,0
2024-12-09 00:00:00,2853.75,2858.31,2853.73,2858.31,0
2024-12-10 00:00:00,2858.85,2863.21,2858.83,2860.11,0
2024-12-11 00:00:00,2860.65,2860.65,2858.42,2858.42,0
2024-12-12 00:00:00,2858.96,2858.96,2856.13,2856.33,0
2024-12-13 00:00:00,2856.87,2859.35,2854.87,2859.19,0
2024-12-16 00:00:00,2860.79,2861.14,2859.45,2859.67,0
2024-12-17 00:00:00,2860.21,2860.21,2856.85,2856.85,0
2024-12-18 00:00:00,2857.39,2859.28,2857.38,2859.07,0
2024-12-19 00:00:00,2859.62,2859.62,2851.06,2852.52,0
2024-12-20 00:00:00,2853.06,2853.06,2851.68,2852.11,0
2024-12-23 00:00:00,2853.72,2856.61,2853.7,2855.7,0
2024-12-24 00:00:00,2856.24,2856.45,2849.62,2855.42,0
2024-12-26 00:00:00,2856.49,2856.63,2854.26,2854.26,0
2024-12-27 00:00:00,2854.8,2855.44,2850.74,2853.85,0
2024-12-30 00:00:00,2854.91,2857.21,2854.82,2857.21,0
2024-12-31 00:00:00,2857.74,2861.37,2857.74,2861.37,0
2025-01-01 00:00:00,2861.91,2861.91,2858.02,2858.26,0
2025-01-02 00:00:00,2858.8,2858.8,2856.61,2858.19,0
2025-01-03 00:00:00,2858.73,2859.97,2857.2,2859.68,0
2025-01-06 00:00:00,2861.28,2864.05,2859.54,2864.05,0
2025-01-07 00:00:00,2864.59,2870.45,2864.58,2867.44,0
2025-01-08 00:00:00,2867.98,2869.4,2865.24,2865.24,0
2025-01-09 00:00:00,2865.78,2866.18,2862.94,2865.07,0
2025-01-10 00:00:00,2865.61,2866.74,2864.85,2864.85,0
2025-01-13 00:00:00,2866.45,2866.45,2851.14,2851.58,0
2025-01-14 00:00:00,2852.12,2854.43,2848.46,2854.43,0
2025-01-15 00:00:00,2854.97,2859.37,2854.97,2858.15,0
2025-01-16 00:00:00,2858.69,2869.14,2858.68,2869.14,0
2025-01-17 00:00:00,2869.68,2870.76,2865.93,2865.93,0
2025-01-20 00:00:00,2867.54,2870.58,2866.97,2870.21,0
2025-01-21 00:00:00,2870.75,2876.57,2870.74,2875.89,0
2025-01-22 00:00:00,2876.43,2879.98,2875.82,2879.98,0
