idx,signal,price,portfolio
84,buy,18020.873046875,82294.7265625
84,sell,18027.501953125,100322.228515625
85,buy,18032.5,82289.728515625
85,sell,18033.271484375,100323.0
87,buy,18020.962890625,82302.037109375
87,sell,18028.341796875,100330.37890625
88,buy,18018.201171875,82312.177734375
88,sell,18033.740234375,100345.91796875
89,buy,18034.537109375,82311.380859375
89,sell,18034.537109375,100345.91796875
91,buy,18014.9375,82330.98046875
91,sell,18021.771484375,100352.751953125
92,buy,18012.318359375,82340.43359375
92,sell,18019.625,100360.05859375
93,buy,18024.474609375,82335.583984375
93,sell,18035.458984375,100371.04296875
95,buy,18055.017578125,82316.025390625
95,sell,18061.037109375,100377.0625
96,buy,18061.4296875,82315.6328125
96,sell,18073.796875,100389.4296875
97,buy,18078.158203125,82311.271484375
97,sell,18096.3671875,100407.638671875
98,buy,18090.82421875,82316.814453125
98,sell,18102.79296875,100419.607421875
99,buy,18066.97265625,82352.634765625
99,sell,18082.0703125,100434.705078125
100,buy,18053.40625,82381.298828125
100,sell,18067.001953125,100448.30078125
101,buy,18039.326171875,82408.974609375
101,sell,18047.125,100456.099609375
102,buy,18028.458984375,82427.640625
102,sell,18040.173828125,100467.814453125
103,buy,18015.068359375,82452.74609375
103,sell,18019.66796875,100472.4140625
104,buy,18015.41796875,82456.99609375
104,sell,18028.212890625,100485.208984375
105,buy,18007.125,82478.083984375
105,sell,18009.93359375,100488.017578125
106,buy,17987.373046875,82500.64453125
106,sell,17990.30859375,100490.953125
107,buy,17949.49609375,82541.45703125
107,sell,17959.986328125,100501.443359375
109,buy,17879.79296875,82621.650390625
109,sell,17879.79296875,100501.443359375
110,buy,17860.390625,82641.052734375
110,sell,17860.390625,100501.443359375
113,buy,17807.232421875,82694.2109375
113,sell,17825.12890625,100519.33984375
114,buy,17805.37890625,82713.9609375
114,sell,17805.37890625,100519.33984375
115,buy,17798.927734375,82720.412109375
115,sell,17798.927734375,100519.33984375
116,buy,17786.427734375,82732.912109375
116,sell,17786.427734375,100519.33984375
119,buy,17791.173828125,82728.166015625
119,sell,17791.173828125,100519.33984375
120,buy,17801.931640625,82717.408203125
120,sell,17804.3515625,100521.759765625
123,buy,17798.705078125,82723.0546875
123,sell,17798.705078125,100521.759765625
124,buy,17809.921875,82711.837890625
124,sell,17809.921875,100521.759765625
127,buy,17841.736328125,82680.0234375
127,sell,17841.736328125,100521.759765625
128,buy,17850.0625,82671.697265625
128,sell,17850.0625,100521.759765625
129,buy,17867.333984375,82654.42578125
129,sell,17867.333984375,100521.759765625
133,buy,17806.7421875,82715.017578125
133,sell,17806.7421875,100521.759765625
134,buy,17802.53515625,82719.224609375
134,sell,17802.53515625,100521.759765625
139,buy,17805.64453125,82716.115234375
139,sell,17805.64453125,100521.759765625
141,buy,17779.45703125,82742.302734375
141,sell,17779.45703125,100521.759765625
142,buy,17780.3359375,82741.423828125
142,sell,17780.3359375,100521.759765625
145,buy,17744.70703125,82777.052734375
145,sell,17744.70703125,100521.759765625
148,buy,17713.884765625,82807.875
148,sell,17713.884765625,100521.759765625
152,buy,17694.44140625,82827.318359375
152,sell,17694.44140625,100521.759765625
156,buy,17673.484375,82848.275390625
156,sell,17673.484375,100521.759765625
159,buy,17686.462890625,82835.296875
159,sell,17686.462890625,100521.759765625
160,buy,17686.76171875,82834.998046875
160,sell,17686.76171875,100521.759765625
161,buy,17709.791015625,82811.96875
161,sell,17709.791015625,100521.759765625
162,buy,17709.833984375,82811.92578125
162,sell,17709.833984375,100521.759765625
163,buy,17718.181640625,82803.578125
163,sell,17718.181640625,100521.759765625
165,buy,17742.923828125,82778.8359375
165,sell,17742.923828125,100521.759765625
167,buy,17737.419921875,82784.33984375
167,sell,17737.419921875,100521.759765625
171,buy,17713.1875,82808.572265625
171,sell,17713.1875,100521.759765625
173,buy,17672.109375,82849.650390625
173,sell,17672.109375,100521.759765625
174,buy,17667.37109375,82854.388671875
174,sell,17667.37109375,100521.759765625
176,buy,17650.900390625,82870.859375
176,sell,17650.900390625,100521.759765625
177,buy,17647.083984375,82874.67578125
177,sell,17647.083984375,100521.759765625
178,buy,17637.31640625,82884.443359375
178,sell,17637.31640625,100521.759765625
181,buy,17625.71875,82896.041015625
181,sell,17625.71875,100521.759765625
187,buy,17626.01171875,82895.748046875
187,sell,17633.185546875,100528.93359375
189,buy,17632.009765625,82896.923828125
189,sell,17632.009765625,100528.93359375
192,buy,17645.478515625,82883.455078125
192,sell,17645.75,100529.205078125
195,buy,17621.673828125,82907.53125
195,sell,17621.673828125,100529.205078125
196,buy,17612.43359375,82916.771484375
196,sell,17612.43359375,100529.205078125
197,buy,17637.716796875,82891.48828125
197,sell,17637.716796875,100529.205078125
198,buy,17648.546875,82880.658203125
198,sell,17648.546875,100529.205078125
203,buy,17700.232421875,82828.97265625
203,sell,17700.232421875,100529.205078125
204,buy,17693.34765625,82835.857421875
204,sell,17693.34765625,100529.205078125
205,buy,17697.63671875,82831.568359375
205,sell,17697.63671875,100529.205078125
207,buy,17701.5546875,82827.650390625
207,sell,17701.5546875,100529.205078125
209,buy,17725.517578125,82803.6875
209,sell,17725.517578125,100529.205078125
210,buy,17738.4140625,82790.791015625
210,sell,17738.4140625,100529.205078125
211,buy,17750.474609375,82778.73046875
211,sell,17750.474609375,100529.205078125
215,buy,17800.5078125,82728.697265625
215,sell,17800.798828125,100529.49609375
