ID,Action,Price,Amount
186,sell,20802.136121335625,116702.69102800933
187,sell,20848.08444458842,116835.59581496267
188,sell,20833.978505504132,116968.44182166604
189,sell,20849.9508826375,117102.59453313945
190,sell,20854.19230696559,117236.94306870399
197,sell,20790.95862751305,117372.01975287049
199,sell,20704.307953202722,117506.0027281165
200,sell,20666.910835413633,117637.70648265927
203,sell,20667.907457853853,117769.13846110254
204,sell,20669.050040240585,117899.64778775722
205,sell,20686.462533497808,118030.32751109153
206,sell,20700.671833358705,118161.53493577093
207,sell,20706.47456679791,118294.45458289982
208,sell,20702.45769623369,118426.56484580041
209,sell,20706.831541237236,118556.27304387988
214,sell,20693.57659487277,118687.87277719378
215,sell,20692.82136772871,118819.13072647006
216,sell,20691.99018857628,118949.17377383859
220,sell,20695.375336566565,119079.67847732753
221,sell,20742.71721405983,119213.03435316533
222,sell,20732.844773876666,119344.25069395006
223,sell,20716.833760286867,119474.7610112831
224,sell,20727.7516963765,119606.98090925664
235,sell,20857.55400890112,119739.60137151778
236,sell,20844.16267914772,119873.59227219076
237,sell,20867.077069845796,120007.78725260794
238,sell,20892.225110042094,120143.8767402947
239,sell,20880.47500412166,120277.31979582907
250,sell,20897.12104254663,120410.80842256844
383,sell,20894.603398582338,120545.53935998381
